Crop,ID,Unique_ID,State,Treatment,Stem_Length_cm,Leaf_Vein_mm,Leaf_Count,Leaf_Width_mm,Root_Length_mm,Node_Count,Fresh_Mass_g,Fruited,Flowered,Root.Nodules.Present,Stem_Diameter_mm,Root_count,Dry_Mass_g,Dry_Root_Mass_g,Notes
Eggplant,23,Eggplant 23,Harvested,Optimar,19,72.765,5,55.1,120,5,5.2,NA,NA,NA,NA,NA,657.9,160.5,
Eggplant,24,Eggplant 24,Harvested,Optimar,19.5,75.195,5,56.11,115,5,5.3,NA,NA,NA,NA,NA,383.2,81.1,
Eggplant,25,Eggplant 25,Harvested,Optimar,16.5,72.345,5,48.39,70,5,3.3,NA,NA,NA,NA,NA,662.7,200.3,
Eggplant,26,Eggplant 26,Harvested,Dilution,21.5,75.5,4,58,110,5,6.3,NA,NA,NA,NA,NA,788.7,260.9,
Eggplant,27,Eggplant 27,Harvested,Dilution,27.5,96.25,5,70.5,140,6,10.9,NA,NA,NA,NA,NA,1723.6,525,
Eggplant,28,Eggplant 28,Harvested,Dilution,24,86,5,63.5,65,5,7.4,NA,NA,NA,NA,NA,1060.8,247.6,
Eggplant,29,Eggplant 29,Harvested,Dilution,27.5,89,6,64.5,130,6,11.7,NA,NA,NA,NA,NA,1451.6,391.3,
Eggplant,30,Eggplant 30,Harvested,Dilution,29,87.45,6,61.95,125,5,9.5,NA,NA,NA,NA,NA,1353.4,415.8,
Eggplant,31,Eggplant 31,Harvested,Water,20.5,82,5,52.5,130,4,5.7,NA,NA,NA,NA,NA,950.8,374.8,
Eggplant,32,Eggplant 32,Harvested,Water,22.5,63.25,10,48,145,10,8.7,NA,NA,NA,NA,NA,1152.6,432.4,
Eggplant,33,Eggplant 33,Harvested,Water,22,85.25,4,61,95,4,6.5,NA,NA,NA,NA,NA,776.8,178.7,
Eggplant,34,Eggplant 34,Harvested,Water,24.5,76,7,57.5,65,5,5.6,NA,NA,NA,NA,NA,988.5,277.7,
